GBPNID,PlaceName,GridRef,Lat,Lng,HistCounty,Division,AdCounty,District,UniAuth,Police,Region,Alternative_Names,Type
12956,Denton Holme,NY3954,54.883707,-2.939127,Cumberland,,Cumbria,Carlisle,,Cumbria,England,,Settlement
13162,Distington,NY0023,54.596387,-3.539705,Cumberland,,Cumbria,Copeland,,Cumbria,England,,Settlement
13204,Dockray,NY3921,54.585088,-2.936114,Cumberland,,Cumbria,Eden,,Cumbria,England,,Settlement
13404,Dovenby,NY0933,54.687476,-3.407746,Cumberland,,Cumbria,Allerdale,,Cumbria,England,,Settlement
13431,Down Hall,NY2852,54.862588,-3.119366,Cumberland,,Cumbria,Allerdale,,Cumbria,England,,Settlement
13499,Dragley Beck,SD2977,54.190208,-3.081963,Lancashire,,Cumbria,South Lakeland,,Cumbria,England,,Settlement
13583,Drigg,SD0699,54.379652,-3.437224,Cumberland,,Cumbria,Copeland,,Cumbria,England,,Settlement
13630,Drumburgh,NY2659,54.927009,-3.150024,Cumberland,,Cumbria,Allerdale,,Cumbria,England,,Settlement
13675,Drybeck,NY6615,54.530986,-2.516865,Westmorland,,Cumbria,Eden,,Cumbria,England,,Settlement
13699,Dubwath,NY1931,54.669925,-3.245867,Cumberland,,Cumbria,Allerdale,,Cumbria,England,,Settlement
13728,Duddon Bridge,SD1988,54.282624,-3.238759,Cumberland,,Cumbria,Copeland,,Cumbria,England,,Settlement
13753,Dufton,NY6924,54.618423,-2.476935,Westmorland,,Cumbria,Eden,,Cumbria,England,,Settlement
13828,Dundraw,NY2149,54.837356,-3.222431,Cumberland,,Cumbria,Allerdale,,Cumbria,England,,Settlement
13884,Dunnerholme,SD2179,54.20064,-3.2125169,Lancashire,,Cumbria,Barrow-in-Furness,,Cumbria,England,,Settlement
13893,Dunningwell,SD1784,54.244933,-3.275202,Cumberland,,Cumbria,Copeland,,Cumbria,England,,Settlement
13972,Durdar,NY4051,54.851016,-2.924661,Cumberland,,Cumbria,Carlisle,,Cumbria,England,,Settlement
14074,Eaglesfield,NY0928,54.640336,-3.403792,Cumberland,,Cumbria,Allerdale,,Cumbria,England,,Settlement
14089,Eamont Bridge,NY5228,54.650709,-2.739237,Westmorland,,Cumbria,Eden,,Cumbria,England,,Settlement
14241,Curthwaite, East,NY3348,54.827368,-3.037445,Cumberland,,Cumbria,Allerdale,,Cumbria,England,,Settlement
14241,East Curthwaite,NY3348,54.827368,-3.037445,Cumberland,,Cumbria,Allerdale,,Cumbria,England,,Settlement
14620,Easton,NY2759,54.920541,-3.1299259,Cumberland,,Cumbria,Allerdale,,Cumbria,England,,Settlement
14621,Easton,NY4372,55.039364,-2.890655,Cumberland,,Cumbria,Carlisle,,Cumbria,England,,Settlement
14717,Eccle Riggs,SD2186,54.263537,-3.2143624,Lancashire,,Cumbria,South Lakeland,,Cumbria,England,,Settlement
14752,Edderside,NY1045,54.797234,-3.398335,Cumberland,,Cumbria,Allerdale,,Cumbria,England,,Settlement
